my_row_id,Zip_Code,Population,Median_Income,Median_Age,Bachelor_Degree,Total_Education_Population,Graduate_Professional_Degree,White_Alone,Black_Alone,Hispanic_Latino,Employment_Status,Unemployment,Total_Health_Insurance_Coverage,Without_Health_Insurance,Total_Pop_Poverty_Status,Below_Poverty_Level,Median_Home_Value,Median_Gross_Rent,Owner_Occupied_Units,Renter_Occupied_Units,Means_of_Transportation_to_Work,Total_Pop_Marital_Status,Married_Population,ZCTA
27469,77624,644,47917,63.3,250,561,4,559,0,559,570,28,644,0,644,49,149000,,260,0,5495,570,6,77624
27470,77625,8274,67942,39.9,1850,5739,420,6772,618,6714,6785,346,8216,5,8110,1370,115300,899,2533,620,93490,6874,900,77625
27471,77627,22180,75461,38.1,3481,15037,2025,18530,723,17689,17331,331,22111,71,22084,1644,177000,1210,6509,2365,184180,17669,2637,77627
27472,77629,576,53527,50.5,201,480,22,433,110,433,514,29,576,0,576,60,152100,,229,20,6595,514,6,77629
27473,77630,29160,61223,35.4,6160,18912,2155,20072,6518,18824,22045,845,28680,96,28583,4363,155300,993,7002,3585,273790,22427,3776,77630
27474,77632,21451,83679,40.4,4387,14719,1713,18656,697,18282,17152,587,21425,32,21419,2853,178800,1014,6467,1619,237675,17523,2198,77632
27475,77640,16896,49122,37.9,3682,11312,724,5020,9234,3598,13468,720,16868,6,16795,3880,91100,1101,4522,2133,124175,13690,3241,77640
27476,77642,38720,42076,30.9,7113,23076,1970,11966,14397,5473,28150,1035,38153,124,37873,10784,90800,885,6974,6575,325270,28931,5441,77642
27477,77650,2073,61211,65.4,663,1973,296,1842,178,1569,1973,0,2073,0,2073,308,363800,,1073,88,22695,1973,0,77650
27478,77651,13635,85086,39.0,1976,9247,1310,11948,120,11465,10611,356,13635,12,13524,1157,223500,1038,3743,1193,112120,10838,1617,77651
27479,77655,294,68472,59.4,118,264,26,266,6,255,279,0,279,0,279,10,142500,,163,8,2040,279,18,77655
27480,77656,17280,61286,41.9,4556,11937,973,13735,2549,13241,13761,209,16984,26,16876,2260,113700,937,5095,1207,183980,13989,1754,77656
27481,77657,21084,86611,39.5,3915,14588,1427,19606,147,18728,16423,315,20950,9,20888,2063,219200,975,6582,1356,243820,16685,1633,77657
27482,77659,6305,93780,33.5,1088,3588,242,5683,173,5475,4513,183,6305,63,6259,967,187600,1176,1690,231,71685,4587,784,77659
27483,77660,1111,52647,51.8,103,792,35,1094,0,1094,988,100,1111,0,1111,168,140600,,320,40,11885,996,120,77660
27484,77661,371,,16.5,37,163,29,264,29,227,204,0,371,0,371,37,,,66,57,,204,0,77661
27485,77662,25849,68901,40.4,6068,17949,2218,23904,162,22604,20677,852,25663,162,25544,2353,119300,874,7943,1783,296620,21049,2969,77662
