my_row_id,Zip_Code,Population,Median_Income,Median_Age,Bachelor_Degree,Total_Education_Population,Graduate_Professional_Degree,White_Alone,Black_Alone,Hispanic_Latino,Employment_Status,Unemployment,Total_Health_Insurance_Coverage,Without_Health_Insurance,Total_Pop_Poverty_Status,Below_Poverty_Level,Median_Home_Value,Median_Gross_Rent,Owner_Occupied_Units,Renter_Occupied_Units,Means_of_Transportation_to_Work,Total_Pop_Marital_Status,Married_Population,ZCTA
1,00601,16834,17526,44.0,3467,12295,1622,14170,348,71,14116,1358,16791,0,16791,10440,90900,401,3740,1601,127835,14336,3399,601
2,00602,37642,20260,45.2,6276,28321,3377,18479,555,1646,32451,936,37575,27,37510,17768,98300,459,9630,3147,209190,32821,6946,602
3,00603,49075,17703,45.0,10700,36307,3041,36216,1719,684,41811,2594,48355,45,48379,23551,129200,448,11258,8366,245880,42470,9139,603
4,00606,5590,19603,46.2,1291,4118,186,3721,9,38,4784,83,5590,0,5590,3021,104700,394,1463,485,30415,4848,1080,606
5,00610,25542,22796,44.4,5279,19085,2467,11182,576,749,22058,791,25446,0,25405,11597,104600,524,6392,2389,193285,22202,4781,610
6,00611,1315,22525,48.1,256,1019,81,765,14,57,1105,119,1315,0,1315,587,129700,432,276,247,18435,1105,222,611
7,00612,63312,22305,44.4,13006,46409,4974,23571,1775,182,53667,4034,62894,53,62890,27239,107800,474,14505,8781,419645,54253,11350,612
8,00616,9625,23652,46.7,2384,7396,775,3512,626,24,8406,592,9612,0,9612,4201,101100,580,2123,1027,75235,8513,1811,616
9,00617,22573,20328,42.6,5265,16397,1688,8496,754,103,19052,1295,22559,0,22559,10418,118800,581,6065,2169,160590,19397,4061,617
10,00622,7577,22818,50.2,1276,6112,865,3409,419,105,6771,411,7524,0,7524,3496,107900,565,2145,851,59865,6813,925,622
11,00623,39406,23132,45.4,6484,29115,2875,16400,1790,143,33838,2220,39304,0,39266,16224,117200,540,10916,3656,293410,34184,6742,623
12,00624,21648,20101,40.1,3914,15095,2166,16052,611,82,17698,807,21582,0,21550,11130,87900,492,5134,2210,160895,17921,3683,624
13,00627,32733,23263,44.5,5421,24290,4377,26687,542,210,28032,617,32623,0,32541,13563,103500,578,8773,2812,295605,28376,4947,627
14,00631,1431,15658,42.1,144,1100,142,1377,8,0,1216,76,1420,0,1420,846,98300,326,278,202,12145,1233,251,631
15,00636,1057,,29.7,212,577,62,603,0,0,822,0,1057,0,1057,800,67100,336,114,148,6225,855,188,636
16,00637,22882,20568,45.1,5127,16145,1618,14793,123,195,19344,773,22753,0,22740,10350,103100,454,5680,1585,151150,19576,4916,637
17,00638,17605,19796,45.6,3683,13117,1271,9019,594,126,14831,933,17596,18,17551,9664,93100,371,4262,1552,137530,15054,3382,638
18,00641,24299,17673,45.9,4340,17971,1932,11942,314,313,20715,2307,24267,21,24178,12959,99700,458,5308,3546,170420,20950,3615,641
19,00646,35926,31330,42.5,6403,25704,2399,16043,2257,906,30176,2051,35708,0,35857,11072,150100,664,9563,2443,382605,30541,6408,646
20,00647,4702,17143,46.4,1335,3191,341,2337,287,5,3651,398,4702,9,4702,3176,90100,336,1353,491,18280,3695,1000,647
21,00650,13767,20363,41.1,3212,9756,1020,6258,81,39,11634,1454,13740,0,13740,6827,100800,633,3619,1626,95305,11752,2317,650
22,00652,3924,26148,44.5,718,2947,312,1595,74,90,3423,170,3919,0,3919,1498,118600,678,1022,390,31675,3462,477,652
23,00653,8980,13777,44.7,2321,6567,753,5668,428,24,7733,962,8957,0,8825,5795,80400,329,2466,1161,35675,7970,2152,653
24,00656,18121,21456,44.9,3505,13307,2243,13909,343,37,15189,1150,18066,0,18041,9388,83600,413,4699,1730,114860,15561,3482,656
25,00659,37066,23899,44.7,6572,27842,4936,28807,1242,104,31924,853,36973,28,36955,14782,121200,541,9566,3495,314005,32382,5854,659
26,00660,15483,22556,48.9,3304,11905,938,3249,381,120,13591,991,15390,0,15389,6367,112800,531,4294,1790,119680,13726,2377,660
27,00662,40480,20283,44.3,8906,30227,3536,22574,3146,363,35040,897,40155,55,40078,19434,122500,512,8516,5551,284020,35445,7818,662
28,00664,14967,17966,41.9,3560,10589,643,8056,560,251,12228,880,14932,0,14932,8257,102900,444,2961,2095,80855,12538,2782,664
29,00667,23370,16889,47.4,4479,17674,2249,9936,610,299,20242,1668,23320,0,23320,13087,98800,520,5691,2568,147295,20481,5119,667
30,00669,27529,18838,44.5,4536,20357,2477,23993,621,166,23526,1054,27276,0,27229,15237,97300,483,6628,3369,243965,23812,4829,669
31,00670,8746,16644,44.0,2061,6194,609,4902,197,0,7321,200,8672,0,8672,4542,93200,299,1988,714,62240,7385,1632,670
32,00674,39385,20088,44.0,8547,28883,2574,16294,1040,519,33332,2390,39181,208,39181,18002,116300,534,10775,3916,281875,33833,7075,674
33,00676,36683,20160,42.2,7619,26407,2096,28106,1703,134,31070,2988,36547,0,36499,17143,100700,478,8193,4763,285245,31457,6455,676
34,00677,15304,26404,48.7,2667,11840,1803,6030,344,809,13252,342,15281,0,15263,6304,137200,572,4117,1624,110545,13432,2489,677
35,00678,25039,19558,44.4,5113,18679,2964,17356,893,259,21295,492,25023,0,24982,11494,103700,488,5916,3143,190910,21684,4463,678
36,00680,43173,16535,45.6,7305,30792,2270,7550,978,130,37348,3332,42613,0,42458,22589,97700,462,9774,7803,241865,37921,8233,680
37,00682,30414,17385,38.0,4647,19482,1219,4887,847,321,26203,2716,30291,0,30079,16264,116900,418,5992,6085,150885,26404,6581,682
38,00683,29547,18132,46.9,6826,21913,1854,18986,339,243,25274,543,29434,0,29136,14181,97200,466,7409,3495,190110,25645,5685,683
39,00685,40346,17481,45.7,7033,29680,3337,29322,1122,1157,34070,1968,40137,0,40156,21041,103200,440,10006,4306,266670,34434,6711,685
40,00687,28659,22282,41.5,6012,20557,2794,12506,1180,90,23964,1698,28629,0,28603,13586,114100,561,6970,2840,285585,24436,5115,687
41,00688,11478,17273,42.5,2535,8499,602,3097,168,60,10068,688,10988,0,10988,5987,96100,547,2504,1446,85070,10174,2483,688
42,00690,5781,23343,36.6,959,3910,233,4020,204,16,4837,177,5781,0,5781,2765,138000,782,1370,693,27460,4917,1060,690
43,00692,33302,25289,41.4,6401,23934,3055,11131,2244,147,28129,2875,33000,22,32983,13639,128800,631,8145,3823,333245,28449,5626,692
44,00693,55570,23791,43.9,11170,40596,4211,22455,2736,968,46938,3485,55358,92,55207,23966,116200,572,15366,5069,506275,47681,9519,693
45,00694,98,,73.7,37,98,0,0,0,0,98,0,98,0,98,27,,,52,0,,98,15,694
46,00698,33506,19818,45.6,8269,24887,2331,24755,915,157,28564,1540,33336,0,33336,14745,98300,495,9204,3060,181485,28900,6344,698
47,00703,24475,23045,44.1,5332,17526,1923,9973,1650,78,20753,524,24387,0,24363,10679,129700,432,5917,3076,245820,21051,4796,703
48,00704,6831,19845,31.7,1823,4441,366,2054,1352,0,5617,96,6792,0,6766,3521,91600,608,1900,543,58425,5635,1423,704
49,00705,24401,22679,45.7,6092,18225,1776,8641,2343,40,20898,540,24374,0,24374,10329,119000,519,6883,2026,172200,21082,4538,705
50,00707,10487,21765,46.0,2271,7976,1135,967,3840,38,9001,743,10480,13,10480,5255,101300,500,2782,1122,65160,9061,1882,707
51,00714,15797,18496,41.9,3237,11341,1308,8438,3091,54,13178,487,15774,0,15774,9102,95200,498,4821,1425,107365,13366,2968,714
52,00715,2040,16250,54.2,625,1468,35,801,176,0,1630,0,2040,0,2040,1367,79400,609,623,157,7685,1687,436,715
53,00716,27166,20184,46.7,5196,20164,1581,15241,1663,177,23293,1012,27025,18,27041,13196,121200,481,7500,4047,154750,23467,4622,716
54,00717,15029,14164,44.9,2984,10639,959,7953,908,80,12851,804,14977,0,14854,7800,110300,417,3324,3354,73640,13149,3008,717
55,00718,23289,20414,39.7,5743,16428,1855,7887,402,130,19298,756,23164,0,23216,11155,97700,511,5905,2233,206640,19631,4062,718
56,00719,29523,20533,42.4,4780,21486,2713,13615,2285,1,24910,1747,29421,0,29455,14400,100300,502,5837,2855,316995,25185,7294,719
57,00720,20816,16751,41.2,4404,14821,1694,9714,1034,112,17389,1256,20680,0,20680,11490,95300,469,4385,2129,184695,17574,4592,720
58,00723,15978,20967,47.2,3397,12088,1460,1048,5589,0,13721,646,15944,11,15964,7705,93700,486,4255,1967,122900,13933,2647,723
59,00725,77244,25786,44.8,13869,57037,6126,42866,6819,1198,66103,3730,76695,11,76652,31300,134300,546,19841,10977,751925,67056,13236,725
60,00727,53258,33678,42.8,8116,39164,4099,29152,4940,566,45538,1385,53071,104,52983,16325,144100,800,14246,5765,637165,46006,8962,727
61,00728,38590,21239,40.4,7937,27201,2358,23528,2520,132,32136,1032,36087,29,36106,17986,105900,489,10216,2853,260820,32650,8457,728
62,00729,47826,26978,41.9,8629,34785,4684,13980,6789,43,40049,3417,47706,16,47611,16792,115400,585,12288,4373,538045,40850,8359,729
63,00730,32267,17517,44.4,6311,23605,2481,15339,1479,159,27244,1842,32000,21,32017,16881,100900,502,8727,4223,206245,27548,6451,730
64,00731,10473,16944,47.9,2599,8076,733,5495,648,19,9093,243,10429,12,10429,5862,88800,501,3050,874,64575,9201,1903,731
65,00735,11164,23125,46.0,2805,8377,872,2969,637,122,9546,464,11150,21,11089,4613,104600,497,3114,1120,92135,9775,1820,735
66,00736,45867,27158,44.4,10433,34124,2872,17863,4117,30,39486,1055,45765,43,45799,17606,134500,572,11273,6434,410820,39952,8959,736
67,00738,30093,24643,44.2,6587,22085,2270,9206,2033,128,25537,2933,29970,0,29961,12441,114200,616,8312,3586,233375,25990,5305,738
68,00739,34678,24887,42.8,7746,25138,2379,13833,3990,80,29239,741,34486,78,34589,13847,132900,539,8254,4164,322090,29630,6448,739
69,00740,2034,18784,34.0,416,1338,65,680,88,0,1486,155,2034,0,2034,1188,96800,489,374,344,14410,1520,452,740
70,00741,3627,23821,47.1,951,2767,288,662,372,18,3082,128,3609,0,3609,1802,92800,649,1107,231,25055,3118,611,741
71,00745,47494,26189,43.8,9179,35044,4430,13081,5652,200,40740,3727,46956,24,46979,16929,131500,589,11809,4423,577625,41229,8512,745
72,00751,19570,20241,45.3,5402,14456,1176,5433,3577,34,16666,406,19521,13,19496,9706,87900,463,5803,1747,125160,16810,3744,751
73,00754,36576,19528,43.7,6700,27094,3224,4473,10298,4,31395,1062,36482,24,36493,16682,112300,565,9601,3763,338395,31696,7454,754
74,00757,20048,22764,40.6,5000,14132,1239,5680,3135,29,16866,682,19985,19,20037,9297,104400,502,5730,1452,161665,16969,4033,757
75,00765,8199,17062,45.3,2556,6017,560,1813,579,313,6912,314,8199,0,8199,4433,114500,441,1790,818,21040,6984,2092,765
76,00766,22053,22511,43.1,4912,15600,1802,8769,1889,63,18295,1084,21908,0,21927,9359,101600,487,6008,1800,189295,18625,4357,766
77,00767,30779,20126,45.7,5634,22827,2747,2463,11410,51,26320,1086,30728,0,30759,15124,94600,498,8400,3408,232075,26685,5721,767
78,00769,34374,20236,44.5,9886,25697,2326,10696,4506,104,29032,869,34274,0,34252,17218,99700,493,9775,2995,249955,29409,6501,769
79,00771,34964,23343,42.8,5966,25679,3012,3964,11396,12,29661,1250,34907,52,34907,13683,118500,478,9323,2827,325045,30073,5731,771
80,00772,17316,17209,42.8,4640,12446,1398,1595,6942,17,14489,1896,17316,0,17304,9029,98600,436,4066,2342,147170,14691,3509,772
81,00773,17716,22585,44.5,3887,13012,1501,4871,1292,71,15235,1630,17707,0,17681,8011,125300,485,4744,2056,154810,15334,3087,773
82,00775,1186,25483,44.6,322,812,94,342,31,43,1013,19,1186,0,1182,278,168500,458,275,172,6565,1025,234,775
83,00777,37726,26052,39.9,7449,26774,3607,12429,8274,79,31313,2205,37636,57,37666,14168,112500,573,9784,3631,397415,32027,6859,777
84,00778,40476,39484,41.2,5890,29369,3262,17069,4566,740,34125,2883,40169,45,40290,12880,160400,630,11430,3410,535650,34762,6370,778
85,00780,13908,26075,39.6,2390,9379,1109,5864,974,0,11298,615,13774,0,13857,5509,112500,848,4215,564,115635,11462,2560,780
86,00782,18639,16221,41.2,3726,13580,1322,9031,1523,25,15568,898,18617,0,18628,9934,109900,474,2910,2329,167360,15951,5043,782
87,00783,34205,21701,41.8,6733,24568,2795,15920,2283,57,28475,1821,34098,38,34039,15602,111600,564,8106,2630,358045,28909,6364,783
88,00784,35917,19199,40.6,8963,25806,2263,20459,3867,103,30261,690,33500,23,33500,16110,98400,411,10029,4210,231115,30840,8092,784
89,00786,154,,61.3,41,128,0,66,67,0,154,0,154,0,154,87,44400,,86,0,,154,26,786
90,00791,46537,26002,46.0,11810,34490,3676,10933,5685,207,39766,1169,46256,58,46238,16880,115700,500,12499,4242,363925,40385,8076,791
91,00794,28335,21278,39.4,5580,19902,2092,15074,2019,27,23414,1496,28189,0,28153,14013,118100,467,6072,2892,264895,23767,5295,794
92,00795,42900,22579,41.9,8565,30840,3605,10511,2552,81,36054,3125,42549,0,42506,19204,99600,537,10949,3658,304230,36438,7957,795
93,00901,8220,27926,46.0,1543,6671,406,4191,977,409,7266,420,6944,0,6987,2243,378800,626,1479,1823,54835,7289,2177,901
94,00906,148,,35.2,0,130,14,148,0,25,130,0,131,0,148,0,427300,,78,0,2960,130,47,906
95,00907,16607,40293,50.7,1787,13957,842,7233,1426,513,15183,645,16487,0,16568,4338,287700,933,5274,3247,145640,15383,3497,907
96,00909,5260,25778,41.6,749,3748,364,1763,610,162,4256,336,5168,0,5177,2269,171600,642,1023,1477,45680,4351,1237,909
97,00911,7087,38125,48.5,660,5660,353,2938,493,793,6305,430,7075,0,7075,1941,369300,705,1798,1926,74560,6413,1481,911
98,00912,5955,27026,48.1,875,4703,331,1610,646,44,5469,347,5955,6,5623,1924,138800,639,1475,1325,55120,5490,1160,912
99,00913,7068,6449,28.0,1263,3999,334,1954,295,519,4736,850,7039,7,7034,5300,378400,238,573,2517,36100,4844,1239,913
100,00915,24713,12963,42.8,5444,17200,1444,3931,3503,65,20582,2489,24703,14,24703,16198,93800,469,4319,6319,192470,20991,5141,915
101,00917,18544,17086,49.2,4040,14337,1819,7186,1522,99,16477,1769,18434,0,18380,9318,123900,543,4172,4039,135375,16713,4040,917
102,00918,15976,35000,44.4,1740,12471,1291,6140,782,110,14193,962,15966,0,15945,4588,196700,530,3911,4069,130070,14419,3215,918
103,00920,17293,28562,45.0,2523,13131,1699,7070,3227,50,15013,756,17202,0,17244,6244,152100,743,3815,3302,151765,15199,3638,920
104,00921,33555,21419,41.8,5167,24124,3407,13228,5116,205,27983,2614,32127,44,32108,15093,145800,597,6582,7416,252960,28257,6626,921
105,00923,24760,18389,43.6,5177,17634,2479,7813,3409,126,21046,2561,24693,25,24380,12072,116200,494,4716,5771,207010,21455,5248,923
106,00924,47080,21046,41.5,7802,33365,4685,21429,8481,207,38580,3884,46485,21,46645,21867,138400,481,10157,9541,400860,39333,8568,924
107,00925,5556,13016,41.7,594,4045,360,2242,839,51,5292,387,5548,0,5049,3028,150800,567,543,2220,73355,5349,1860,925
108,00926,93751,38432,45.3,10862,70076,7819,45307,8818,1040,81198,4650,93261,65,93317,24424,181500,683,26973,10010,987840,82272,16451,926
109,00927,13766,40213,48.2,871,10579,1200,7538,713,330,12046,576,13728,0,13753,2926,216600,569,3338,2927,114790,12233,2160,927
110,00934,128,,32.3,0,74,0,69,59,59,74,34,118,0,128,0,,,0,28,,99,59,934
111,00949,68031,31500,42.0,10768,49597,7021,28208,4725,559,57819,3215,67541,10,67605,22552,137400,704,18916,6617,792155,58537,11503,949
112,00950,0,,-666667000.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,950
113,00951,298,21354,46.2,45,221,34,71,88,0,244,5,298,0,298,156,79000,,39,84,,244,79,951
114,00952,8168,19392,51.6,1461,6306,930,2613,1401,1,7232,491,8158,15,8158,3634,105900,508,1987,1151,68905,7318,1682,952
115,00953,66079,32957,40.8,11634,47473,8704,34179,3552,447,55975,2547,65839,0,65907,20964,144800,729,18220,4156,1011075,56688,12461,953
116,00956,65841,27243,44.0,10639,49036,5607,23421,4133,276,56380,2391,65211,0,65230,24649,129800,634,17522,7367,709625,57239,11630,956
117,00957,41009,28240,44.1,6792,29988,3368,15222,2572,128,35276,1316,40713,18,40653,14438,136000,654,11214,4131,446605,35729,6876,957
118,00959,47721,31603,42.3,6711,34624,4687,18409,3681,819,40531,1822,47007,13,47140,15982,147500,638,11753,6277,498740,41047,8055,959
119,00960,3405,,36.1,1320,3052,90,886,329,3,3358,1,64,0,64,39,,,0,0,,3386,2849,960
120,00961,29271,34141,46.8,3999,22437,2679,11672,2050,77,25343,1767,29080,61,29130,8352,159700,696,7936,3636,244495,25500,4680,961
121,00962,19614,18478,41.0,4811,13998,1495,7922,2274,184,16345,1123,19569,0,19579,10166,110600,553,4267,3367,160000,16618,3808,962
122,00965,5148,15872,45.4,1165,3934,328,1754,717,25,4474,249,5126,0,5138,2967,96400,524,1257,787,33345,4524,1078,965
123,00966,16451,51732,49.3,1362,12468,840,7083,625,253,14002,743,16406,0,16406,3204,264900,1041,4730,1777,141530,14210,2277,966
124,00968,3554,55132,57.3,219,3038,190,1695,106,38,3249,17,3539,0,3554,336,207200,977,1414,420,32370,3257,364,968
125,00969,41784,55929,45.0,3953,32157,2641,16656,2260,399,36538,1546,41622,0,41696,8027,239000,924,11302,4235,438140,36899,7032,969
126,00971,26430,31484,47.1,3926,20513,2235,10057,1576,51,23362,1134,26173,0,26174,8785,142700,646,6578,3015,256805,23607,5453,971
127,00976,61638,35661,44.4,9945,45738,5635,33792,8029,358,52945,2078,61209,17,61099,18764,152600,607,16715,6732,746860,53597,10478,976
128,00979,16890,34705,52.7,2054,13819,1734,6952,1152,424,15574,918,16810,50,16884,3679,187000,976,5793,2977,181300,15617,2496,979
129,00982,13876,24244,44.3,2354,10065,1531,5393,2287,23,11759,1117,13805,0,13845,5759,137500,659,3646,2081,104180,11950,2419,982
130,00983,31816,30595,42.2,6270,22811,2899,11616,5039,124,26471,2039,31755,19,31785,10608,152000,620,8309,4464,309840,26837,5052,983
131,00985,32265,33270,47.7,6876,24791,3489,11001,5185,105,28482,2032,32081,10,32080,9382,142900,559,8625,3775,324890,28841,5358,985
132,00987,54109,36396,41.1,8353,39185,5858,18382,6692,482,45754,2865,53855,25,53807,16317,146600,752,14935,5199,630460,46305,8719,987
133,01001,16045,73398,45.9,3187,12264,1399,14384,530,13685,13462,474,15558,33,15554,1110,257700,1278,4813,1798,148930,13643,2440,1001
134,01002,22992,74265,26.4,1024,11848,568,16777,942,16299,20297,793,22899,0,20017,4443,435200,1476,4257,4525,189665,20700,6069,1002
135,01003,11989,,19.8,3,100,34,7809,653,7411,11989,757,11989,0,46,3,,,0,19,26870,11989,5659,1003
136,01005,4837,97409,44.4,1220,3402,196,4575,55,4515,4158,86,4730,0,4725,420,294900,1394,1583,98,86840,4214,603,1005
137,01007,15368,99500,44.0,2506,11373,1517,13857,171,13451,12648,182,15368,0,15360,1268,336400,1211,5445,1001,216210,12775,1904,1007
138,01008,1231,93405,50.2,327,964,135,1211,0,1165,1046,3,1231,5,1227,40,279400,932,502,29,20850,1060,178,1008
139,01009,699,68510,31.1,80,494,21,699,0,699,533,21,671,0,699,106,224200,1289,183,124,7785,533,88,1009
140,01010,3699,88438,45.5,559,2743,301,2985,166,2985,3041,56,3699,0,3687,224,355400,927,1283,197,53135,3078,498,1010
141,01011,1318,80640,47.1,440,950,82,1279,0,1273,1067,14,1318,0,1318,121,263000,993,413,99,20980,1078,143,1011
142,01012,440,73906,54.5,108,353,33,430,0,430,386,0,440,0,440,41,301700,1022,151,47,6870,386,64,1012
143,01013,22895,62000,39.0,4252,15558,1351,15768,1291,13453,18278,832,22733,0,22185,3926,231500,990,4805,4545,210555,18672,3615,1013
144,01020,30417,67617,44.0,7047,22485,2386,25085,1549,22501,26299,834,30360,17,30230,4090,236600,1095,8426,4885,281980,26630,5996,1020
145,01022,2144,52207,39.3,457,1565,120,1584,315,1584,1954,70,1936,0,2144,412,145300,1671,771,306,14195,1954,575,1022
146,01026,1073,83875,51.2,109,822,79,1024,6,1007,935,3,1073,0,1073,73,273200,1054,389,90,13075,939,165,1026
147,01027,17711,69337,47.5,2907,13760,1265,15582,107,15363,15125,508,17707,0,17636,1538,334800,1169,5428,3178,180135,15278,2251,1027
148,01028,16273,100610,43.7,2324,11388,1253,14448,433,13928,12994,262,15859,0,15878,566,320500,1180,5063,912,158285,13342,2108,1028
149,01029,527,93125,56.8,118,420,28,521,0,510,478,7,527,0,527,14,389500,,222,19,8165,478,76,1029
150,01030,12561,87324,46.1,2534,9081,918,11721,155,11481,10604,335,12549,0,12484,716,288100,1124,3801,1165,138840,10861,1777,1030
151,01031,1697,51250,35.5,352,1075,104,1501,0,1421,1326,7,1697,0,1697,340,232300,1121,351,325,21370,1326,237,1031
152,01032,484,88077,55.3,70,386,31,479,0,479,428,0,484,0,484,48,275600,,206,26,6890,432,31,1032
153,01033,6096,102248,48.3,1053,4748,548,5782,122,5667,5320,123,6078,0,6075,304,298900,853,2409,277,77925,5380,595,1033
154,01034,2065,104583,50.2,351,1586,192,1953,21,1944,1769,67,2061,11,2048,130,322100,1886,797,46,32010,1773,243,1034
155,01035,5295,112450,48.7,621,4101,174,4849,5,4802,4449,103,5189,0,5152,230,420100,1625,1728,595,50625,4559,635,1035
156,01036,4966,110320,55.3,896,3973,609,4618,0,4540,4412,187,4901,0,4901,115,331400,,1876,95,63665,4467,527,1036
157,01037,582,78047,62.0,123,467,45,547,1,532,523,0,552,0,552,9,411400,,231,26,6810,523,46,1037
158,01038,2469,103125,48.5,279,1807,186,2146,0,2129,2157,51,2469,0,2451,160,434800,1352,782,276,28380,2172,381,1038
159,01039,1728,109167,52.8,165,1375,59,1635,23,1609,1479,65,1728,0,1728,68,377300,1517,636,84,21000,1505,157,1039
160,01040,38210,49007,37.5,6744,25805,2343,25804,1758,16555,30626,1135,37322,56,37196,9675,236800,937,6272,8840,282360,31278,8039,1040
161,01050,2714,84333,44.4,537,1965,170,2589,35,2589,2186,44,2707,8,2703,322,264300,1173,906,196,42550,2228,305,1050
162,01053,1885,60875,57.1,361,1543,94,1653,165,1614,1757,86,1614,0,1602,177,318600,1221,580,162,9545,1779,429,1053
163,01054,1793,105833,49.0,185,1409,69,1610,10,1606,1528,66,1787,5,1784,166,410200,1400,652,86,21190,1536,240,1054
164,01056,20883,76395,44.6,4343,15470,1874,18474,255,17786,18121,442,20281,0,20222,1969,285000,1192,6293,2209,208130,18357,3658,1056
165,01057,8215,85614,49.6,1900,6286,684,7775,49,7704,6990,345,8154,0,8152,859,296300,942,2902,571,116935,7123,1217,1057
166,01060,14724,79604,42.2,857,11405,555,12648,154,12136,12743,502,14496,0,14174,1692,420200,1435,3380,4011,136990,12902,2151,1060
167,01062,9491,87409,49.6,905,7276,659,8408,157,8085,7999,162,9186,0,9167,955,374100,1083,3217,961,86200,8041,1295,1062
168,01063,2089,,19.9,0,10,0,1352,111,1266,2089,96,2089,0,10,0,,,0,6,5490,2089,10,1063
169,01066,134,20202,49.4,51,127,32,134,0,134,127,0,134,0,134,83,409200,,69,0,,127,25,1066
170,01068,1585,93906,49.3,247,1197,130,1481,21,1476,1352,27,1585,0,1580,83,365200,1361,571,42,26315,1372,193,1068
171,01069,8516,71439,51.5,1555,6490,544,7389,237,7018,7351,159,8385,0,8401,636,231100,890,2868,980,133440,7438,1136,1069
172,01070,571,60313,55.6,115,448,33,507,1,507,484,5,571,0,568,87,248300,972,236,25,8205,486,81,1070
173,01071,1259,105417,47.0,362,929,144,1170,30,1120,1135,11,1252,0,1259,48,267400,933,468,62,16735,1152,237,1071
174,01072,1413,99000,53.5,163,1143,90,1290,6,1261,1257,67,1413,0,1413,61,312800,1539,547,67,17585,1264,208,1072
175,01073,6185,114531,47.8,852,4709,700,5641,21,5641,5158,63,6185,0,6185,114,373300,1139,2294,202,66215,5158,639,1073
176,01074,694,88190,34.9,205,462,67,664,0,664,561,69,694,0,694,331,256300,1085,61,119,,561,199,1074
177,01075,17115,92740,44.6,2361,11784,1202,15127,229,14491,14890,353,16995,17,14906,1220,311600,1171,5614,1702,164485,15130,1784,1075
178,01077,9244,106779,47.8,1981,6826,761,8607,22,8287,7809,162,9222,0,9222,388,339000,1243,3183,508,117980,7937,1352,1077
179,01079,640,,48.7,172,456,64,604,1,585,548,27,640,0,640,150,264900,1117,163,99,,548,120,1079
180,01080,2674,89335,36.4,664,1833,186,2076,88,2059,2138,94,2674,0,2674,122,228300,1237,629,360,39750,2238,453,1080
181,01081,1716,88636,42.4,445,1248,111,1633,9,1580,1358,25,1716,14,1682,76,258100,1429,634,58,26215,1379,236,1081
182,01082,10533,66607,42.9,2584,7467,718,9685,295,9560,8763,446,10506,0,10455,1134,250000,1014,3439,1404,144425,8864,1528,1082
183,01083,2539,87511,35.0,672,1696,102,2243,23,2243,1952,168,2539,0,2539,307,346900,1048,531,372,37200,1974,502,1083
184,01084,99,86538,51.4,19,84,0,99,0,99,87,0,99,0,93,9,282100,,42,8,1490,87,16,1084
185,01085,41592,78901,39.4,7147,28203,3335,35627,632,33933,34646,899,41113,20,38990,3396,283500,1050,10584,5183,453020,35141,6629,1085
186,01088,725,51591,31.4,98,553,57,693,0,688,592,42,725,0,725,83,377100,1163,227,163,9790,592,53,1088
187,01089,28755,67297,38.7,4906,20609,1923,23198,1016,21954,23791,933,28648,0,28665,3022,294400,1038,7207,5484,254035,24055,4727,1089
188,01092,1428,69048,36.4,269,1048,67,1398,30,1398,1207,159,1428,0,1383,99,283600,937,364,254,28640,1226,123,1092
189,01093,145,130781,54.4,51,123,6,145,0,145,142,3,145,0,145,0,387900,,69,0,1765,142,10,1093
190,01094,44,87188,52.2,12,38,0,44,0,44,38,0,44,0,44,0,,,13,0,,38,3,1094
191,01095,14673,126689,44.7,1999,10549,1014,13153,555,12745,12030,90,14416,0,14343,552,360800,885,4851,531,181580,12266,1670,1095
192,01096,2516,106250,47.9,415,2007,188,2408,21,2358,2161,34,2508,0,2510,110,339400,1357,943,164,33900,2187,264,1096
193,01097,36,,33.8,16,28,12,36,0,36,28,0,36,0,36,0,,,5,12,,28,0,1097
194,01098,951,91181,61.1,199,807,59,923,0,923,835,15,951,0,945,27,309500,533,446,21,14125,844,53,1098
195,01103,2245,21288,36.5,262,1740,93,1002,496,575,2008,67,2205,4,2241,998,188800,1016,117,1379,17320,2008,507,1103
196,01104,22606,47413,34.7,3910,14345,1253,9903,3125,5179,17560,1119,22470,0,22431,4550,187500,971,4224,4879,160515,17805,3937,1104
197,01105,12045,23948,28.1,1861,6803,623,4019,2137,953,8767,565,11914,0,11869,5784,207100,881,566,4452,87300,8887,3099,1105
198,01106,16019,137597,45.1,1110,11174,843,14148,206,13863,12684,476,15805,0,15488,585,409500,1996,5407,569,128785,12900,1567,1106
199,01107,12443,30825,27.4,1729,6874,417,5087,1444,1383,9189,766,12416,0,12318,5047,187000,858,1195,3095,64175,9393,2905,1107
200,01108,26198,48465,34.6,4286,17434,1127,11877,4745,8522,20521,1130,26140,71,25960,7419,200700,1128,4760,5745,224835,20849,4957,1108
201,01109,31301,42928,29.0,4438,17489,1519,11441,11227,5310,24536,1272,31237,0,28279,6997,180100,1075,4127,5496,218690,25004,7606,1109
202,01118,15112,78354,37.7,2304,10265,1241,9067,2729,7453,11936,418,15042,76,14957,2232,224200,1241,4448,1276,129635,12205,2096,1118
203,01119,14182,54326,36.2,3316,9201,906,7541,3237,5827,11486,185,14043,0,12923,2336,204400,1092,3801,1372,118645,11581,2489,1119
204,01128,3063,77050,39.2,572,2119,151,2224,264,1928,2378,83,3063,0,3063,216,233000,,1036,66,31990,2397,431,1128
