Zip_Code,Count
92503,260
92504,216
92508,176
92506,153
92880,133
92571,122
92336,121
92509,108
92882,105
92399,101
92881,101
92505,94
92223,91
92557,86
92553,84
92555,84
91709,83
92879,82
92584,80
92883,79
92507,76
92374,75
92562,72
91752,71
91710,69
92335,68
92570,66
92407,62
92324,62
91739,61
92592,60
92376,60
92563,59
92346,59
92373,58
92860,55
92530,46
92337,44
92551,44
91761,42
92404,41
91737,38
92532,38
92544,37
91762,37
92308,37
92545,37
92392,36
91701,36
92583,34
91730,34
92596,33
92587,33
92501,33
92345,32
92301,29
92595,28
92591,28
92394,27
92377,27
91786,25
92585,25
92203,24
92313,24
91784,24
92867,24
92307,23
92886,22
92316,22
92220,22
92354,21
92410,21
92405,21
92395,20
92344,20
92870,20
91766,19
92408,19
91773,19
91722,19
92320,18
93312,18
92688,16
91702,16
90631,15
91740,15
92582,15
92878,15
92543,15
91711,14
91750,14
92630,14
92692,14
92234,14
91764,14
92887,14
92211,14
92646,14
93314,13
91790,13
95366,13
91763,13
91767,13
91741,13
92673,13
91765,13
92705,12
92411,12
92567,12
91708,12
92359,12
93619,12
91744,12
90703,12
92656,12
91350,12
91706,12
92691,11
90603,11
92821,11
92869,11
95747,11
92807,11
92835,11
92677,10
92026,10
93455,10
92019,10
92675,10
91789,10
91791,9
92629,9
92694,9
90638,9
90660,9
95376,9
90274,9
92128,9
92833,9
95765,9
95120,9
92679,9
92201,9
93277,9
95355,8
94598,8
90650,8
92649,8
90706,8
92548,8
92845,8
93311,8
92253,8
92084,8
92808,8
91724,8
92672,7
92861,7
92056,7
92127,7
91935,7
94550,7
92806,7
97080,7
91977,7
90701,7
91354,7
92028,7
92704,7
94565,7
92648,7
91010,7
92586,7
92314,7
92227,7
92610,7
90630,7
93730,7
92604,7
93010,7
95037,7
91723,7
92865,7
90807,6
92260,6
90503,6
90640,6
90250,6
92071,6
95356,6
90723,6
92010,6
92078,6
94583,6
91792,6
92708,6
92081,6
95382,6
93230,6
90815,6
91745,6
95630,6
94521,6
95242,6
92236,6
90808,6
94546,6
95757,6
93720,6
94513,5
92020,5
89135,5
98332,5
92340,5
91914,5
95667,5
97223,5
93065,5
92602,5
92683,5
92058,5
91746,5
97089,5
95603,5
91755,5
92352,5
90280,5
92131,5
97701,5
93550,5
92626,5
95361,5
93291,5
95662,5
91016,5
93535,5
95678,5
92025,5
91913,5
92805,5
91803,5
90620,5
91901,5
93221,5
91344,5
94523,5
91384,5
92653,5
91342,5
92009,5
90623,4
93536,4
92040,4
92130,4
92624,4
94536,4
90602,4
92129,4
96744,4
94561,4
91320,4
95118,4
90605,4
92011,4
91942,4
95330,4
95404,4
97408,4
93023,4
92620,4
97070,4
93212,4
95648,4
92801,4
95762,4
95340,4
90242,4
92317,4
92840,4
95391,4
92024,4
96822,4
90201,4
95409,4
97132,4
90746,4
92831,4
96701,4
93012,4
92371,4
91505,4
90604,4
94579,4
92057,4
97140,4
90249,4
92315,4
94080,4
95661,4
95959,4
92843,4
94503,4
91360,4
91604,4
95123,4
92021,4
94506,4
93628,4
90504,4
93551,4
95746,4
93257,4
95124,4
95380,4
90044,4
95377,4
91902,4
90720,4
92064,4
85383,4
94587,3
94086,3
95742,3
91768,3
94040,3
98011,3
92139,3
93001,3
91748,3
93543,3
94526,3
91390,3
94520,3
60187,3
95350,3
93644,3
93306,3
92868,3
92274,3
90606,3
92618,3
93552,3
97060,3
94578,3
96797,3
98422,3
95209,3
93405,3
96821,3
95020,3
90059,3
85737,3
94563,3
91732,3
24333,3
85396,3
95608,3
93612,3
92603,3
91729,3
92008,3
95758,3
92590,3
92606,3
91001,3
95035,3
90713,3
98072,3
89052,3
94531,3
94597,3
64145,3
92243,3
92069,3
91362,3
95602,3
92065,3
90272,3
98296,3
91932,3
92231,3
92029,3
91006,3
92832,3
96720,3
92703,3
91733,3
94568,3
77494,3
92262,3
93420,3
94582,3
91759,3
91335,3
97229,3
37067,3
94509,3
95304,3
95945,3
94560,3
98021,3
90805,3
97702,3
92107,3
95367,3
93274,3
92660,3
89002,2
91103,2
92706,2
94591,2
91107,2
75090,2
92083,2
89031,2
93021,2
90033,2
95687,2
90006,2
92386,2
83686,2
75067,2
89141,2
92804,2
93041,2
95482,2
90018,2
93711,2
94010,2
65708,2
90011,2
80920,2
92651,2
29902,2
98001,2
90810,2
90601,2
97030,2
98004,2
92393,2
90002,2
89131,2
94070,2
78666,2
94954,2
95117,2
95121,2
89166,2
96003,2
94596,2
98387,2
85295,2
90505,2
93650,2
92311,2
97062,2
91206,2
94517,2
98466,2
90731,2
95111,2
80226,2
98388,2
92372,2
95821,2
95008,2
91343,2
92329,2
94544,2
93546,2
